Patronyme,patronyme_prepare
M. LAURENCIN,M. LAURENCIN
MAURICE LENNE,MAURICE LENNE
FRANCOIS WARTEL,FRANCOIS WARTEL
MAXIME QUEVY,MAXIME QUEVY
GROUPE SCOLAIRE MICHEL LO GIAC,MICHEL LO GIAC
NIV 1 PIERRE-GILLES DE GENNES,NIV 1 PIERREGILLES DE GENNES
DES MESANGES,DES MESANGES
DU FLEURI D'ALCY,DU FLEURI D'ALCY
BLANCHE NEIGE,BLANCHE NEIGE
GROUPE SCOLAIRE JAN DE BELLE,JAN DE BELLE
NIVEAU 1 RPI 3,NIVEAU 1 RPI 3
NIVEAU 2 RPI 21,NIVEAU 2 RPI 21
JULES LEROUX,JULES LEROUX
DU PRINTEMPS,DU PRINTEMPS
LA CROIX BLANCHE,LA CROIX BLANCHE
SAINTE MARIE-SAINT JOSEPH,SAINTE MARIESAINT JOSEPH
YVETTE ET JEAN DUBOIS,YVETTE ET JEAN DUBOIS
NIVEAU 2 RPI 2,NIVEAU 2 RPI 2
DU BOUTON D'OR,DU BOUTON D'OR
BRIANCON JOSEPH CHABAS,BRIANCON JOSEPH CHABAS
JANSSOONE,JANSSOONE
SAINTE MAXELLENDE,SAINTE MAXELLENDE
GAP LE ROCHASSON,GAP LE ROCHASSON
GAP RAYMOND CHAPPA,GAP RAYMOND CHAPPA
MAURICE MILLON,MAURICE MILLON
LES ORRES,LES ORRES
ST BONNET EN CHAMPSAUR,ST BONNET EN CHAMPSAUR
VAL DES PRES,VAL DES PRES
VILLARS,VILLARS
Y. ARTHUS BERTRAND,Y. ARTHUS BERTRAND
MARIE SIGNORET,MARIE SIGNORET
LA GARANCE,LA GARANCE
LE BASSIN,LE BASSIN
LA REBEYRADE,LA REBEYRADE
LOU FOURNIGUIE,LOU FOURNIGUIE
LOUIS GAUTHIER,LOUIS GAUTHIER
PIERRE DE LOYE,PIERRE DE LOYE
ALEXIS JONAS,ALEXIS JONAS
C. CABROL,C. CABROL
GR.SCOL.JULES FERRY,GR.SCOL.JULES FERRY
V. VAN GOGH,V. VAN GOGH
COQ CHANTANT,COQ CHANTANT
TILLET,TILLET
PIERRE VIENOT B,PIERRE VIENOT B
SAINT-GERMAIN GROUPE A,SAINTGERMAIN GROUPE A
HERSAN,HERSAN
CHARLES FAROUX 1,CHARLES FAROUX 1
SAINT-GERMAIN GROUPE B,SAINTGERMAIN GROUPE B
ROYALLIEU,ROYALLIEU
GEORGES POMPIDOU GROUPE B,GEORGES POMPIDOU GROUPE B
BENJAMIN RASPAIL,BENJAMIN RASPAIL
JEANNE MENU,JEANNE MENU
CURIE - FERRY,CURIE  FERRY
CHARLES FERNAND,CHARLES FERNAND
AUGUSTE DELAHERCHE,AUGUSTE DELAHERCHE
LOUISE THULIEZ - RPC DE SAINT-,LOUISE THULIEZ  RPC DE SAINT
JULES VERNE NIVEAU 2,JULES VERNE NIVEAU 2
JEAN MERCIER,JEAN MERCIER
GEORGES LEMOINE,GEORGES LEMOINE
GROUPE SCOLAIRE GUSTAVE ANSART,GUSTAVE ANSART
GUSTAVE ANSART,GUSTAVE ANSART
KERGOMARD,KERGOMARD
BELLONTE,BELLONTE
DU CARIOT,DU CARIOT
JEHAN FROISSART,JEHAN FROISSART
DU RIEU,DU RIEU
RENE CLAIR,RENE CLAIR
SAINT ADRIEN LA SALLE,SAINT ADRIEN LA SALLE
CENTRE NIVEAU 1 RPI 1,NIVEAU 1 RPI 1
NOTRE DAME DE LA MOUSSERIE,NOTRE DAME DE LA MOUSSERIE
MAX GALLO MAT,MAX GALLO MAT
BORGHEAS MAT,BORGHEAS MAT
MICHELIS 2,MICHELIS 2
COLLET DE GASQ,COLLET DE GASQ
TOUET SUR VAR,TOUET SUR VAR
BAGARIA MAT,BAGARIA MAT
ILE VERTE MAT,ILE VERTE MAT
HAUTS DE VAUGRENIER MAT (LES),HAUTS DE VAUGRENIER MAT (LES)
FREDERIC GAGLIOLO,FREDERIC GAGLIOLO
LES CENSIES,LES CENSIES
GEORGES BAUQUIER,GEORGES BAUQUIER
FREDERIC MIREUR,FREDERIC MIREUR
FRANCINE HENRY,FRANCINE HENRY
LES EUCALYPTUS,LES EUCALYPTUS
TURCAN,TURCAN
CAIS I,CAIS I
GUY LOMBARD,GUY LOMBARD
ILE DE PORQUEROLLES,ILE DE PORQUEROLLES
PAUL LONG,PAUL LONG
ALEXIS GODILLOT,ALEXIS GODILLOT
LA CAPTE,LA CAPTE
ELIETTE SANTONI,ELIETTE SANTONI
SAINT-CLAIR,SAINTCLAIR
DU BICENTENAIRE,DU BICENTENAIRE
OCTAVE VIGNE,OCTAVE VIGNE
LA LIBAUDE,LA LIBAUDE
DE L'HOUTLAND,DE L'HOUTLAND
NIVEAU 1 RPI 20,NIVEAU 1 RPI 20
MACE-PREVERT,MACEPREVERT
LEOPOLD BERNARD,LEOPOLD BERNARD
GROUPE LEOPOLD SEDAR SENGHOR,GROUPE LEOPOLD SEDAR SENGHOR
FRANCOISE DOLTO - JEAN MONNET,FRANCOISE DOLTO  JEAN MONNET
JULES LESIEUX,JULES LESIEUX
FERNAND DEROME,FERNAND DEROME
RAOUL FRANCOIS,RAOUL FRANCOIS
HERRIOT - VIART,HERRIOT  VIART
STE-MARIE-DE-LA-PRESENTATION,STEMARIEDELAPRESENTATION
CHARLES DE GAULLE RPI 139,CHARLES DE GAULLE RPI 139
L'ASPE,L'ASPE
D'AUCHY LES HESDIN,D'AUCHY LES HESDIN
ERNEST CAMAIL,ERNEST CAMAIL
EMILE PANET,EMILE PANET
MONGE-ROUSTAN,MONGEROUSTAN
GROUPE SCOLAIRE DU BREDENARDE,DU BREDENARDE
HOUARD-SAUVAT,HOUARDSAUVAT
L.ARAGON-E.TRIOLET,L.ARAGONE.TRIOLET
PRIN-COTTON,PRINCOTTON
RPC DE BAPAUME,RPC DE BAPAUME
RPI 28,RPI 28
RPI 101,RPI 101
SAINT-JEAN-NOTRE DAME,SAINTJEANNOTRE DAME
ANTOINE DE ST EXUPERY - RPC DE,ANTOINE DE ST EXUPERY  RPC DE
JEREMIE POTEAU,JEREMIE POTEAU
HAMEAU LA CLAQUETTE,HAMEAU LA CLAQUETTE
COURS FENELON,COURS FENELON
HENRI MERTZ,HENRI MERTZ
RPI 108,RPI 108
LA DO RE,LA DO RE
EMILE FRADIN,EMILE FRADIN
MARMOTTAN,MARMOTTAN
MONTREAL,MONTREAL
GEORGES MOREL,GEORGES MOREL
BOUC D'OR,BOUC D'OR
OBERLIN,OBERLIN
INTERCOMMUNALE DU WARSCHBACH,INTERCOMMUNALE DU WARSCHBACH
JACQUELINE,JACQUELINE
ZIEGELAU,ZIEGELAU
CRONENBOURG CENTRE,CRONENBOURG 
MARTIN SCHONGAUER,MARTIN SCHONGAUER
CATHERINE,CATHERINE
ROSA PARKS 2,ROSA PARKS 2
ANDRE JULLIEN,ANDRE JULLIEN
CLAIR ACCUEIL,CLAIR ACCUEIL
DU GRAND BLEU,DU GRAND BLEU
DU CENTRE-HAMEAU TREPIED-LEVIS,DU HAMEAU TREPIEDLEVIS
LE GANDSPETTE,LE GANDSPETTE
MARCELLE MAILLOT,MARCELLE MAILLOT
DE LA LACQUETTE,DE LA LACQUETTE
RPI 66,RPI 66
LE VAL FLEURI,LE VAL FLEURI
LES FLOTS,LES FLOTS
ST LOUIS - STE JEANNE D'ARC,ST LOUIS  STE JEANNE D'ARC
DUBREUCQ,DUBREUCQ
ROGER QUILLOT RPI 27,ROGER QUILLOT RPI 27
DU RIETZ,DU RIETZ
LES FONTINETTES,LES FONTINETTES
RPI 44,RPI 44
ABEL LOMBARD,ABEL LOMBARD
PETIT POUCET-BLANCHE NEIGE,PETIT POUCETBLANCHE NEIGE
L'ANNONCIATION,L'ANNONCIATION
P.BERT-E.LITTRE,P.BERTE.LITTRE
ALPHONSE TELLIER,ALPHONSE TELLIER
PRALONG,PRALONG
PIERRE BOZON LEYDIER,PIERRE BOZON LEYDIER
LES SAGES,LES SAGES
JUSTINIEN RAYMOND,JUSTINIEN RAYMOND
DU TRIOLET,DU TRIOLET
DES VERTS MONTS,DES VERTS MONTS
CENTRE RPI 132,RPI 132
CHEDDE JONCTION,CHEDDE JONCTION
DE SAINT QUENTIN,DE SAINT QUENTIN
DU VIEUX MOULIN RPI 106,DU VIEUX MOULIN RPI 106
BASSE MELDYCK,BASSE MELDYCK
LES LOUEZ DIEU,LES LOUEZ DIEU
LE CEP SEYNOD,LE CEP SEYNOD
JEAN DE LA FONTAINE RPI 81,JEAN DE LA FONTAINE RPI 81
DE GLAPIGNY,DE GLAPIGNY
LETROZ,LETROZ
DE LA PATURELLE,DE LA PATURELLE
JEAN HANIQUAUT,JEAN HANIQUAUT
RPI 92,RPI 92
LA PETITE SIRENE,LA PETITE SIRENE
ST.JOSEPH-ST.DOMINIQUE SAVIO,ST.JOSEPHST.DOMINIQUE SAVIO
SAINT.VAAST-SAINT.DOMINIQUE,SAINT.VAASTSAINT.DOMINIQUE
DES BAILLONS - LE VILLAGE RPI,DES BAILLONS  LE VILLAGE RPI
GROUPE LA FONTAINE,GROUPE LA FONTAINE
CL. CHARY,CL. CHARY
JEHAN RICTUS,JEHAN RICTUS
LES GONNARDIERES,LES GONNARDIERES
DUCHENNE-QUINET,DUCHENNEQUINET
JEAN-PIERRE FLORIAN,JEANPIERRE FLORIAN
BUCAILLE-PELLETAN,BUCAILLEPELLETAN
RPI 85,RPI 85
RPI 133,RPI 133
ZOLA,ZOLA
RENE MOUCHOTTE,RENE MOUCHOTTE
LA FONTAINE-MALHERBE,LA FONTAINEMALHERBE
ARCHIMEDE,ARCHIMEDE
GREUZE,GREUZE
ROGER MACKE,ROGER MACKE
BERLINGUEZ,BERLINGUEZ
JULES FASSIAUX,JULES FASSIAUX
FRANCOISE DOLTO RPI 121,FRANCOISE DOLTO RPI 121
CLEMENCE QUINIO,CLEMENCE QUINIO
JOEL COUVREUR,JOEL COUVREUR
CENTRE - LUSSE,LUSSE
ÉLÉMENTAIRE - LUVIGNY,LUVIGNY
PRIMAIRE - MANDRES-SUR-VAIR,MANDRESSURVAIR
RPI 40,RPI 40
LOUIS PASTEUR - NEUFCHATEAU,LOUIS PASTEUR  NEUFCHATEAU
MATERNELLE - POUXEUX,POUXEUX
DAUDET-PERRAULT,DAUDETPERRAULT
PRIMAIRE - RAINVILLE,RAINVILLE
F.DOLTO P.KERGOMARD,F.DOLTO P.KERGOMARD
MATERNELLE - ROMONT,ROMONT
GASTON COLNAT,GASTON COLNAT
HAUT DE CHAUMONT - STE-MARG.,HAUT DE CHAUMONT  STEMARG.
LE FOSSARD - ST-ETIENNE-LES-RT,LE FOSSARD  STETIENNELESRT
TORTUE BLEUE - ST-ETIENNE-LES-,TORTUE BLEUE  STETIENNELES
RPI 47,RPI 47
ANTHOARD,ANTHOARD
PRIMAIRE - ST-OUEN-LES-PAREY,STOUENLESPAREY
ELEMANTAIRE - SANS-VALLOIS,ELEMANTAIRE  SANSVALLOIS
DANTON-JAURES,DANTONJAURES
CENTRE - URIMENIL,URIMENIL
LES SOURCES - VECOUX,LES SOURCES  VECOUX
CITE SCOLAIRE HENRI PUCHOIS,CITE SCOLAIRE HENRI PUCHOIS
LA ROUTE - VINCEY,LA ROUTE  VINCEY
LE HAUT DE FOL - VITTEL,LE HAUT DE FOL  VITTEL
ALBERT CAQUOT,ALBERT CAQUOT
MARIE LIETARD,MARIE LIETARD
BRISE DES NEIGES,BRISE DES NEIGES
SADI CARNOT RPI 135,SADI CARNOT RPI 135
LE BRUYANT,LE BRUYANT
COUCY 2EME SECTION,COUCY 2EME SECTION
VILLANCOURT,VILLANCOURT
NOTRE DAME DE LA TRINITE,NOTRE DAME DE LA TRINITE
MON PLAISIR,MON PLAISIR
AURILLAC,AURILLAC
J.PREVERT,J.PREVERT
ANATOLE LE BRAZ,ANATOLE LE BRAZ
DES CHAMOIS,DES CHAMOIS
KERNEVEZ,KERNEVEZ
MADELEINE PORQUET,MADELEINE PORQUET
QUATRE MOULINS,QUATRE MOULINS
VALY HIR,VALY HIR
KERVEN,KERVEN
KERJEAN,KERJEAN
LES PIES,LES PIES
SAINT-MAUDET,SAINTMAUDET
LE VILLARET,LE VILLARET
SAINTE-MARINE,SAINTEMARINE
PIERRE DOUGUET,PIERRE DOUGUET
FRANCOIS GUILLOU,FRANCOIS GUILLOU
LES PETITES FEUILLES,LES PETITES FEUILLES
EXTERNAT SAINT LOUIS,EXTERNAT SAINT LOUIS
JEAN LE BRUN,JEAN LE BRUN
KERAFLOCH,KERAFLOCH
ANJELA DUVAL,ANJELA DUVAL
DU VIEUX PUITS,DU VIEUX PUITS
PAUL LANGEVIN (LE PEAGE),PAUL LANGEVIN (LE PEAGE)
JOSEPH SIGNOR,JOSEPH SIGNOR
STRAVINSKI,STRAVINSKI
ST SIGISMOND,ST SIGISMOND
VICTOIRE DE SAINT LUC,VICTOIRE DE SAINT LUC
LE COUP DE CRAYON,LE COUP DE CRAYON
LES HATEES,LES HATEES
GR SCOLAIRE DE LA LHUITRELLE,GR SCOLAIRE DE LA LHUITRELLE
FERNANDE  MOUSTARD,FERNANDE  MOUSTARD
RPC DE MAGNICOURT-EN-COMTE,RPC DE MAGNICOURTENCOMTE
RPI 144,RPI 144
DU COURTY-GUY,DU COURTYGUY
CAMILLE DESCHANEL RPI 37,CAMILLE DESCHANEL RPI 37
BROSSOLETTE FERRY,BROSSOLETTE FERRY
TAUXELLES,TAUXELLES
LES OYATS,LES OYATS
DES DUNES D'OYE,DES DUNES D'OYE
MARCEL DOLLET,MARCEL DOLLET
RIMETZ-DEPARETERE,RIMETZDEPARETERE
HUGO,HUGO
JEAN BAPTISTE BOLLEE,JEAN BAPTISTE BOLLEE
HERRIOT,HERRIOT
PILLON,PILLON
BROTTES,BROTTES
DROYES,DROYES
CLAUDE FONTAINE,CLAUDE FONTAINE
MOULIN-PREVERT,MOULINPREVERT
LUCIEN COUSTES,LUCIEN COUSTES
HEUILLEY-COTTON,HEUILLEYCOTTON
LES PETITS LOUPS DE MER,LES PETITS LOUPS DE MER
RPC DE VAULX-VRAUCOURT,RPC DE VAULXVRAUCOURT
PIERRE NIEDERBERGER,PIERRE NIEDERBERGER
NULLY,NULLY
CULMONT TORCENAY,CULMONT TORCENAY
MONTIGNY-LE-ROI,MONTIGNYLEROI
VAUX-SOUS-AUBIGNY,VAUXSOUSAUBIGNY
BRANLY,BRANLY
PRIEUR DE LA MARNE,PRIEUR DE LA MARNE
CROIX JEAN ROBERT,CROIX JEAN ROBERT
DE L'ARDRE,DE L'ARDRE
BELLE NOUE,BELLE NOUE
JANCELINS,JANCELINS
LA CRAYERE EPERNAY,LA CRAYERE EPERNAY
DU MASSIF,DU MASSIF
LA NEUVILLETTE-JEAN .JAURES,LA NEUVILLETTEJEAN .JAURES
GERBAULT,GERBAULT
PAUL-BERT/POTTELAIN,PAULBERT/POTTELAIN
PROVENCAUX/AUVERGNATS,PROVENCAUX/AUVERGNATS
BLANCHE CAVARROT,BLANCHE CAVARROT
THOMAS GOUSSET,THOMAS GOUSSET
TURENNE,TURENNE
TROIS FONTAINES,TROIS FONTAINES
CLOVIS CHEZEL,CLOVIS CHEZEL
DOCTEUR BILLARD,DOCTEUR BILLARD
SNCF ALFRED GERARD,SNCF ALFRED GERARD
NOGENT-LE-BAS,NOGENTLEBAS
RECOURT,RECOURT
D'ANGLURE,D'ANGLURE
SYLVAIN LAMBERT,SYLVAIN LAMBERT
DU BAN DE L'ISLE,DU BAN DE L'ISLE
MARCEL GAUDIN,MARCEL GAUDIN
MARCEL JERGER,MARCEL JERGER
DES MAIS,DES MAIS
BEAUTEMPS BEAUPRE,BEAUTEMPS BEAUPRE
MARCEL BENE,MARCEL BENE
CLAIRMARAIS,CLAIRMARAIS
LA NEUVILLETTE,LA NEUVILLETTE
PENITY,PENITY
LOUIS KERNEIS,LOUIS KERNEIS
ROBERT TOULLEC,ROBERT TOULLEC
LES MARCASSINS,LES MARCASSINS
CENTRE - MANDRAY,MANDRAY
SAINT CLEMENT,SAINT CLEMENT
LES BASSES FOSSES,LES BASSES FOSSES
MARTHE MARIONNET,MARTHE MARIONNET
ELEMENTAIRE - NOMPATELIZE,NOMPATELIZE
ELEMENTAIRE - PADOUX,PADOUX
RUAUX - PLOMBIÈRES-LES-BAINS,RUAUX  PLOMBIÈRESLESBAINS
PRIMAIRE - POMPIERRE,POMPIERRE
PRIMAIRE - RAMONCHAMP,RAMONCHAMP
PRIMAIRE - ROUVRES-EN-XAINTOIS,ROUVRESENXAINTOIS
FERDINAND BRUNOT,FERDINAND BRUNOT
E. ET J. FERRY - SAINT-DIE,E. ET J. FERRY  SAINTDIE
BALDENSPERGER,BALDENSPERGER
CENTRE - ST-MAURICE MOSELLE,STMAURICE MOSELLE
ELEMENTAIRE - SAINT-PIERREMONT,SAINTPIERREMONT
ARC EN CIEL - SAULXURES MOS.,ARC EN CIEL  SAULXURES MOS.
ÉLÉMENTAIRE - THEY-SS-MONFORT,THEYSSMONFORT
PRIMAIRE - UZEMAIN,UZEMAIN
PRIMAIRE - VEXAINCOURT,VEXAINCOURT
HIRONDELLES - VILLE-SUR-ILLON,HIRONDELLES  VILLESURILLON
LOUIS BLANC - VITTEL,LOUIS BLANC  VITTEL
ÉLÉMENTAIRE - XAFFÉVILLERS,XAFFÉVILLERS
AMEREY - XERTIGNY,AMEREY  XERTIGNY
RENE DAUMAL,RENE DAUMAL
BOUTANCOURT,BOUTANCOURT
DU CHARNOIS,DU CHARNOIS
DU PETIT JOUR,DU PETIT JOUR
LA MONTAGNE DES VIGNES,LA MONTAGNE DES VIGNES
LOUIS LEON BERRARD,LOUIS LEON BERRARD
EC INTERCOMMUNALE,EC INTERCOMMUNALE
MOLKENBRONN,MOLKENBRONN
COLLEGE ST JOSEPH,COLLEGE ST JOSEPH
INTERCOMMUNALE MIETESHEIM UTTE,INTERCOMMUNALE MIETESHEIM UTTE
EX NEHWILLER,EX NEHWILLER
PIERRE DE LEUSSE,PIERRE DE LEUSSE
ROMUALD,ROMUALD
PARC DU CHATEAU,PARC DU CHATEAU
ETS HAMEAU DE WACKENBACH,ETS HAMEAU DE WACKENBACH
ANNEXE IUFM,ANNEXE IUFM
NEUHOF A,NEUHOF A
CAMILLE HIRTZ,CAMILLE HIRTZ
ELEONORE A,ELEONORE A
ZIEGELWASSER,ZIEGELWASSER
ECOLE MATERNELLE ROSA PARKS,ROSA PARKS
SCHLUTHFELD,SCHLUTHFELD
LE GYMNASE - LUCIE BERGER,LE GYMNASE  LUCIE BERGER
ELEONORE B,ELEONORE B
ROGER COLLOT,ROGER COLLOT
PALIS,PALIS
GROUPE STENDHAL,GROUPE STENDHAL
GROUPE SCOLAIRE DE RAMERUPT,DE RAMERUPT
MAURICE BEAUGRAND-GRANGE L'EVE,MAURICE BEAUGRANDGRANGE L'EVE
LOUIS DUMONT,LOUIS DUMONT
DU VAL MOIRON,DU VAL MOIRON
ABBE CORDIER,ABBE CORDIER
DE LA GRENOUILLE,DE LA GRENOUILLE
LA COLOMBETTE,LA COLOMBETTE
CREST CHEREL,CREST CHEREL
VALEZAN,VALEZAN
ECOLE DE BEON,DE BEON
ECOLE DE CONDAMINE,DE CONDAMINE
PERDTEMPS,PERDTEMPS
ECOLE ELEMENTAIRE BRUNET,BRUNET
L'ETRAZ,L'ETRAZ
PIERRE LONGUE,PIERRE LONGUE
LE MENEL,LE MENEL
GROUPE SCOLAIRE DU CENTRE,DU 
PIERRE RACINE,PIERRE RACINE
PASTEUR SUD,PASTEUR SUD
QUINET - BERT,QUINET  BERT
LE BOCAGE,LE BOCAGE
PIERRE DE RONSARD NIVEAU 2,PIERRE DE RONSARD NIVEAU 2
LANGEVIN - WALLON,LANGEVIN  WALLON
MARCEL BENOIST,MARCEL BENOIST
DES TROIS POMMES,DES TROIS POMMES
DESIRE CHEVAILLIER,DESIRE CHEVAILLIER
PIERRE SION,PIERRE SION
BRUNO DESOUTTER,BRUNO DESOUTTER
ARAGON - PREVERT,ARAGON  PREVERT
BALZAC - HUGO,BALZAC  HUGO
RACINE NIVEAU 1,RACINE NIVEAU 1
SAINT BLAISE,SAINT BLAISE
BORIS VIAN - CORNEILLE,BORIS VIAN  CORNEILLE
VAN DER MEERSCH,VAN DER MEERSCH
PIERRE MALFAIT,PIERRE MALFAIT
BRACHET,BRACHET
GEORGES FORTRY,GEORGES FORTRY
ECOLE DE SOUCLIN,DE SOUCLIN
GROUPE SCOLAIRE ARLOD,ARLOD
ALPHONSE DAUDET PRIMAIRE,ALPHONSE DAUDET 
CROIX LEIGNE PRIMAIRE,CROIX LEIGNE 
LA TARDIVE MATERNELLE,LA TARDIVE 
CHAZEAU PRIMAIRE,CHAZEAU 
L'ARC EN CIEL PRIMAIRE,L'ARC EN CIEL 
RUE SAINT JUST,RUE SAINT JUST
JAURES-ROUSSEAU PRIMAIRE,JAURESROUSSEAU 
CENTRE MATERNELLE,""
RPI MONTCHAL COTTANCE,RPI MONTCHAL COTTANCE
R.DE LA GARE PRIMAIRE,R.DE LA GARE 
LES CARRIERES PRIMAIRE,LES CARRIERES 
FONTQUENTIN PRIMAIRE,FONTQUENTIN 
MULSANT ELEMENTAIRE,MULSANT 
FONTQUENTIN MATERNELLE,FONTQUENTIN 
PONTIN MATERNELLE,PONTIN 
ST LOUIS NOTRE DAME,ST LOUIS NOTRE DAME
LAVIEU ELEMENTAIRE,LAVIEU 
DEBUSSY ELEMENTAIRE,DEBUSSY 
LES MARISTES-SITE CHAMPAGNAT,LES MARISTESSITE CHAMPAGNAT
GUIZAY MATERNELLE,GUIZAY 
H.DE SAUVAGE,H.DE SAUVAGE
PONT DE MUIRE-DIDEROT,PONT DE MUIREDIDEROT
LES CARRIERES,LES CARRIERES
INTERCOMMUNALE LA FLEUR DES CH,INTERCOMMUNALE LA FLEUR DES CH
REBGARTEN,REBGARTEN
CHARLES SPINDLER,CHARLES SPINDLER
HAHNENBERG,HAHNENBERG
LES BAINS,LES BAINS
ETTORE BUGATTI,ETTORE BUGATTI
EX DRACHENBRONN,EX DRACHENBRONN
HAMEAU KRAFFT,HAMEAU KRAFFT
MITTELHOLZ,MITTELHOLZ
GERMAIN MULLER,GERMAIN MULLER
MUSAU,MUSAU
BOUCHESECHE,BOUCHESECHE
ETS PROT,ETS PROT
L'ALPE,L'ALPE
LE PETIT PRINCE   GS 20,LE PETIT PRINCE   GS 20
SAINTE ANNE EN CHARTREUSE,SAINTE ANNE EN CHARTREUSE
LES MOINES   GS9,LES MOINES   GS9
EUGENE ROBERT,EUGENE ROBERT
VEYRINS-THUELLIN,VEYRINSTHUELLIN
MARIE SAC,MARIE SAC
EMILE BRUYANT,EMILE BRUYANT
LES P'TITS TAISSOTINS,LES P'TITS TAISSOTINS
COTONNE MATERNELLE,COTONNE 
TERRENOIRE BOURG MATERNELLE,TERRENOIRE BOURG 
OVIDES ELEMENTAIRE,OVIDES 
PL.DE VERDUN PRIMAIRE,PL.DE VERDUN 
FLANDIN ELEMENTAIRE,FLANDIN 
ENTRE 2 AGES PRIMAIRE,ENTRE 2 AGES 
LUHBERG,LUHBERG
CHERIFI,CHERIFI
350  GRANDE RUE  PRIMAIRE,350  GRANDE RUE  
EX GRIESBACH-LE-BASTBERG,EX GRIESBACHLEBASTBERG
EX RIEDHEIM,EX RIEDHEIM
MARGUERITE THIEBOLD,MARGUERITE THIEBOLD
ISABELLE PATISSIER PRIMAIRE,ISABELLE PATISSIER 
CLAUDIUS BUARD PRIMAIRE,CLAUDIUS BUARD 
SAINT CLAUDE HUISSEL,SAINT CLAUDE HUISSEL
DU CLOS,DU CLOS
MARIE HART,MARIE HART
DE LA BASANE,DE LA BASANE
DE LA ROCHE BLEUE,DE LA ROCHE BLEUE
MARXENHOUSE,MARXENHOUSE
EX LEITERSWILLER,EX LEITERSWILLER
LA CLEF DES SAVOIRS,LA CLEF DES SAVOIRS
LA PRESQU'ILE,LA PRESQU'ILE
MAS DE LA RAZ,MAS DE LA RAZ
ECOLE DE RANCE,DE RANCE
STRAVINSKY,STRAVINSKY
ECOLE DE ST-ETIENNE/REYSSOUZE,DE STETIENNE/REYSSOUZE
ECOLE DE SAINT-GERMAIN-LES-PAR,DE SAINTGERMAINLESPAR
THEODORE MERCIER,THEODORE MERCIER
PLAINE DE CONFLANS,PLAINE DE CONFLANS
ARCS 1800,ARCS 1800
HAUTEVILLE GONDON,HAUTEVILLE GONDON
RENE RENDU,RENE RENDU
HAUT-MACHE,HAUTMACHE
ECOLE DE VILLES,DE VILLES
LA FORGERIE,LA FORGERIE
LE MONTILLET,LE MONTILLET
PREMIER ENVOL,PREMIER ENVOL
RENE ROCHE ELEMENTAIRE,RENE ROCHE 
EXTERNAT STE MARIE,EXTERNAT STE MARIE
GR. SCO. LES PETITS CHAPELIERS,GR. SCO. LES PETITS CHAPELIERS
VALLON FLEURI,VALLON FLEURI
A.M REVERCHON PRIMAIRE,A.M REVERCHON 
LANSLEBOURG MONTCENIS,LANSLEBOURG MONTCENIS
LES NOYERS MATERNELLE,LES NOYERS 
LE MENUET,LE MENUET
NELSON MANDELA PRIMAIRE,NELSON MANDELA 
LES CEDRES PRIMAIRE,LES CEDRES 
CENTRON,CENTRON
PILLET WILL,PILLET WILL
RUE 11 NOV MATERNELLE,RUE 11 NOV 
LE PONTET ELEMENTAIRE,LE PONTET 
HUGO MATERNELLE,HUGO 
PRUGNAT ELEMENTAIRE,PRUGNAT 
LE VILLARD-DESSUS,LE VILLARDDESSUS
CLERMONT MATERNELLE,CLERMONT 
MARENGO MATERNELLE,MARENGO 
R.P.I.  CHARLES BOUVARD,R.P.I.  CHARLES BOUVARD
LUCIENNE BEAULIER,LUCIENNE BEAULIER
ANDRE DUBOIS,ANDRE DUBOIS
ARBERE,ARBERE
LES CASCADES,LES CASCADES
BERTRAND OLLIVIER,BERTRAND OLLIVIER
ROBERT MORETTI,ROBERT MORETTI
ECOLE DU MUGUET,DU MUGUET
SAINT EGONNEC,SAINT EGONNEC
LANLEYA,LANLEYA
ECOLE DE MONTANGES,DE MONTANGES
RELEVANT,RELEVANT
KERZOUAR,KERZOUAR
MARIE-ROSE LE BLOCH,MARIEROSE LE BLOCH
MARC BOURHIS,MARC BOURHIS
HENRI GUERIN,HENRI GUERIN
ABBE JULIEN DOUARD,ABBE JULIEN DOUARD
LES RONDINES,LES RONDINES
PIERRE LEROUX,PIERRE LEROUX
NOTRE DAME DES GREVES,NOTRE DAME DES GREVES
LA GLYCINE,LA GLYCINE
DES COLOMBES,DES COLOMBES
GILBERT BILLON,GILBERT BILLON
JEAN ETIENNE,JEAN ETIENNE
ANTONIN LABORDE,ANTONIN LABORDE
VICTOR HUGO APPLICATION,VICTOR HUGO APPLICATION
JOSEPH CORNIER APPLICATION,JOSEPH CORNIER APPLICATION
REBATEL HARMONIE,REBATEL HARMONIE
LA TATIERE,LA TATIERE
SAINT FORTUNAT,SAINT FORTUNAT
NOTRE DAME DE SAINTE FOY,NOTRE DAME DE SAINTE FOY
PHILIPPE SAINT ANDRE,PHILIPPE SAINT ANDRE
SAINT APOLLINAIRE,SAINT APOLLINAIRE
MAXIME LE FORESTIER,MAXIME LE FORESTIER
NOEL DU FAIL,NOEL DU FAIL
PIERRE LEMAÎTRE,PIERRE LEMAÎTRE
LES RIVES DU LOCH,LES RIVES DU LOCH
TEIR DERVENN,TEIR DERVENN
ST HERVE,ST HERVE
N D DES VICTOIRES,N D DES VICTOIRES
NICOLE ROUSSEAU,NICOLE ROUSSEAU
LA FORGERINE,LA FORGERINE
NOTRE DAME DE CLARTE,NOTRE DAME DE CLARTE
LES CREVETTES BLEUES,LES CREVETTES BLEUES
JEAN MARIE GEORGEAULT,JEAN MARIE GEORGEAULT
